,original_name,release_date,genres,overview,total_views,popularity,vote_average,vote_count,content
81,The Hunted,2003,Crime Drama Action Thriller,"In the wilderness of British Columbia, two hunters are tracked and viciously murdered by Aaron Hallum. A former Special Operations instructor is approached and asked to apprehend Hallum—his former student—who has 'gone rogue' after suffering severe battle stress from his time in Kosovo.",1264,16.442,6.1,600,"Crime Drama Action Thriller2003In the wilderness of British Columbia, two hunters are tracked and viciously murdered by Aaron Hallum. A former Special Operations instructor is approached and asked to apprehend Hallum—his former student—who has 'gone rogue' after suffering severe battle stress from his time in Kosovo."
82,Collide,2016,Action Thriller,"An American backpacker gets involved with a ring of drug smugglers as their driver, and winds up on the run from his employers across Cologne’s autobahns.",1478,23.024,5.5,498,"Action Thriller2016An American backpacker gets involved with a ring of drug smugglers as their driver, and winds up on the run from his employers across Cologne’s autobahns."
83,The Legend of Tarzan,2016,Action Adventure Fantasy,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",459,51.616,5.9,5613,"Action Adventure Fantasy2016Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
84,Golden Exits,2018,Drama,An intersectional narrative of two families in Brooklyn and the unraveling of unspoken unhappiness that occurs when a young foreign girl spending time abroad upsets the balance on both sides.,1111,5.972,5.9,45,Drama2018An intersectional narrative of two families in Brooklyn and the unraveling of unspoken unhappiness that occurs when a young foreign girl spending time abroad upsets the balance on both sides.
85,Mississippi Grind,2015,Drama Thriller,"Gerry is a talented but down-on-his-luck gambler whose fortunes begin to change when he meets Curtis, a younger, highly charismatic poker player.  The two strike up an immediate friendship and Gerry quickly persuades his new friend to accompany him on a road trip to a legendary high stakes poker game in New Orleans. As they make their way down the Mississippi River, Gerry and Curtis manage to find themselves in just about every bar, racetrack, casino, and pool hall they can find, experiencing both incredible highs and dispiriting lows, but ultimately forging a deep and genuine bond that will stay with them long after their adventure is over.",1493,14.106,6.0,381,"Drama Thriller2015Gerry is a talented but down-on-his-luck gambler whose fortunes begin to change when he meets Curtis, a younger, highly charismatic poker player.  The two strike up an immediate friendship and Gerry quickly persuades his new friend to accompany him on a road trip to a legendary high stakes poker game in New Orleans. As they make their way down the Mississippi River, Gerry and Curtis manage to find themselves in just about every bar, racetrack, casino, and pool hall they can find, experiencing both incredible highs and dispiriting lows, but ultimately forging a deep and genuine bond that will stay with them long after their adventure is over."
86,Bad Teacher,2011,Comedy,"A lazy, incompetent middle school teacher who hates her job and her students is forced to return to her job to make enough money for a boob job after her rich fiancé dumps her.",3003,44.284,5.6,4113,"Comedy2011A lazy, incompetent middle school teacher who hates her job and her students is forced to return to her job to make enough money for a boob job after her rich fiancé dumps her."
87,Flypaper,2011,Comedy Crime Mystery,A man caught in the middle of two simultaneous robberies at a bank desperately tries to protect the teller with whom he's secretly in love.,215,15.013,6.4,640,Comedy Crime Mystery2011A man caught in the middle of two simultaneous robberies at a bank desperately tries to protect the teller with whom he's secretly in love.
88,Gladiator,2000,Drama Action Adventure,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",2595,58.331,8.2,15457,"Drama Action Adventure2000In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences."
89,Barnyard,2006,Animation Comedy Family,"When the farmer's away, all the animals play, and sing, and dance. Eventually, though, someone has to step in and run things, a responsibility that ends up going to Otis, a carefree cow.",934,21.873,5.8,880,"Animation Comedy Family2006When the farmer's away, all the animals play, and sing, and dance. Eventually, though, someone has to step in and run things, a responsibility that ends up going to Otis, a carefree cow."
90,Allied,2016,Drama Action Romance Thriller War,"In 1942, an intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",1738,27.183,6.8,3995,"Drama Action Romance Thriller War2016In 1942, an intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war."
91,The Devil's Candy,2017,Drama Horror Thriller,A struggling painter is possessed by satanic forces after he and his young family move into their dream home in rural Texas.,973,8.849,6.3,541,Drama Horror Thriller2017A struggling painter is possessed by satanic forces after he and his young family move into their dream home in rural Texas.
92,Murder on the Orient Express,2017,Crime Drama Mystery,Genius Belgian detective Hercule Poirot investigates the murder of an American tycoon aboard the Orient Express train.,1022,33.468,6.7,8546,Crime Drama Mystery2017Genius Belgian detective Hercule Poirot investigates the murder of an American tycoon aboard the Orient Express train.
93,Parker,2013,Crime Action,"A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.",1886,56.583,6.0,2622,"Crime Action2013A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist."
94,xXx: Return of Xander Cage,2017,Crime Action Adventure,"Extreme athlete turned government operative Xander Cage comes out of self-imposed exile, thought to be long dead, and is set on a collision course with deadly alpha warrior Xiang and his team in a race to recover a sinister and seemingly unstoppable weapon known as Pandora's Box. Recruiting an all-new group of thrill-seeking cohorts, Xander finds himself enmeshed in a deadly conspiracy that points to collusion at the highest levels of world governments.",2388,172.078,6.0,6568,"Crime Action Adventure2017Extreme athlete turned government operative Xander Cage comes out of self-imposed exile, thought to be long dead, and is set on a collision course with deadly alpha warrior Xiang and his team in a race to recover a sinister and seemingly unstoppable weapon known as Pandora's Box. Recruiting an all-new group of thrill-seeking cohorts, Xander finds himself enmeshed in a deadly conspiracy that points to collusion at the highest levels of world governments."
95,Dinosaur,2000,Animation Family,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,382,104.326,6.5,2068,Animation Family2000An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.
96,Havenhurst,2016,Mystery Horror Thriller,A troubled young woman takes up residence in a gothic apartment building where she must confront a terrifying evil.,1684,6.646,5.2,97,Mystery Horror Thriller2016A troubled young woman takes up residence in a gothic apartment building where she must confront a terrifying evil.
97,Vigilante Diaries,2016,Action,"The Vigilante Diaries is a high octane action-adventure film featuring 90's movie heroes, explosive action, and international espionage. The film revolves around a team of black-ops agents turned crime-fighters, led by a brooding anti-hero, known only as ""The Vigilante."" These jam-packed missions of rescue and revenge take us from the mega-mansions and underbelly of Los Angeles to far away places like Iraq, Armenia, Russia, and The United Kingdom to introduce us to a cast of colorful, dangerous, and hilarious characters. From Beverly Hills filmmaker Mike Hanover, to a trio of Asian femme fatales, to ruthless Armenian mobsters, and at the top, a pair of deep cover super spies hell bent on throwing the world into chaos.",1684,6.843,4.0,32,"Action2016The Vigilante Diaries is a high octane action-adventure film featuring 90's movie heroes, explosive action, and international espionage. The film revolves around a team of black-ops agents turned crime-fighters, led by a brooding anti-hero, known only as ""The Vigilante."" These jam-packed missions of rescue and revenge take us from the mega-mansions and underbelly of Los Angeles to far away places like Iraq, Armenia, Russia, and The United Kingdom to introduce us to a cast of colorful, dangerous, and hilarious characters. From Beverly Hills filmmaker Mike Hanover, to a trio of Asian femme fatales, to ruthless Armenian mobsters, and at the top, a pair of deep cover super spies hell bent on throwing the world into chaos."
98,Blitz,2011,Crime Action Thriller,A tough cop is dispatched to take down a serial killer who has been targeting police officers.,3413,67.992,6.1,1347,Crime Action Thriller2011A tough cop is dispatched to take down a serial killer who has been targeting police officers.
99,That's My Boy,2012,Comedy Drama,"While in his teens, Donny fathered a son, Todd, and raised him as a single parent up until Todd's 18th birthday. Now, after not seeing each other for years, Todd's world comes crashing down when Donny resurfaces just before Todd's wedding.",164,90.474,5.7,1505,"Comedy Drama2012While in his teens, Donny fathered a son, Todd, and raised him as a single parent up until Todd's 18th birthday. Now, after not seeing each other for years, Todd's world comes crashing down when Donny resurfaces just before Todd's wedding."
100,Burn Country,2016,Drama Thriller War,A former war journalist now writing for a paper in Northern California is drawn into conflict at home.,843,3.082,5.3,23,Drama Thriller War2016A former war journalist now writing for a paper in Northern California is drawn into conflict at home.
101,Numberjacks,2006,Animation,Numberjacks is a children's British television series that originally aired in the UK between 2006 and 2009. Re-runs of the episodes are shown regularly on CBeebies and occasionally on BBC2. It is produced by Open Mind Productions for the BBC and features a mixture of computer-generated animation and live action.,5087,11.025,6.0,4,Animation2006Numberjacks is a children's British television series that originally aired in the UK between 2006 and 2009. Re-runs of the episodes are shown regularly on CBeebies and occasionally on BBC2. It is produced by Open Mind Productions for the BBC and features a mixture of computer-generated animation and live action.
102,Chuggington,2008,Animation Kids,"Koko, Brewster and Wilson are three young, adventurous trainee ""chuggers"", learning about working on the railway in the town of Chuggington, with the help of the railway controller, Vee, the older engines, and their human friends.",8494,22.462,7.6,15,"Animation Kids2008Koko, Brewster and Wilson are three young, adventurous trainee ""chuggers"", learning about working on the railway in the town of Chuggington, with the help of the railway controller, Vee, the older engines, and their human friends."
103,The Patriot,2000,Drama Action History War,"After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son.",1233,40.21,7.2,3212,"Drama Action History War2000After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son."
104,Swallows and Amazons,2016,Family Adventure,"Four children dream of escaping the tedium of a summer holiday with their mother. When finally given permission to camp on their own on an island in the middle of a vast lake, they are overjoyed. But when they get there they discover they may not be alone… The battle for ownership of a lonely island teaches them the skills of survival, the value of friendship and the importance of holding your nerve.",1701,9.211,6.4,80,"Family Adventure2016Four children dream of escaping the tedium of a summer holiday with their mother. When finally given permission to camp on their own on an island in the middle of a vast lake, they are overjoyed. But when they get there they discover they may not be alone… The battle for ownership of a lonely island teaches them the skills of survival, the value of friendship and the importance of holding your nerve."
105,Tulip Fever,2017,Drama Romance,An artist falls for a married young woman while he's commissioned to paint her portrait. The two invest in the risky tulip market in hopes to build a future together.,830,21.115,6.5,589,Drama Romance2017An artist falls for a married young woman while he's commissioned to paint her portrait. The two invest in the risky tulip market in hopes to build a future together.
106,Aftermath,2021,Crime Drama Horror Thriller,"Desperate to save their marriage, a young couple takes a deal to move into their dream home, but disturbing events reveal the house's troubled history.",2856,54.812,6.4,465,"Crime Drama Horror Thriller2021Desperate to save their marriage, a young couple takes a deal to move into their dream home, but disturbing events reveal the house's troubled history."
107,Freaky Friday,2003,Comedy Family Fantasy Romance,"Mother and daughter bicker over everything -- what Anna wears, whom she likes and what she wants to do when she's older. In turn, Anna detests Tess's fiancé. When a magical fortune cookie switches their personalities, they each get a peek at how the other person feels, thinks and lives.",105,39.879,6.4,3135,"Comedy Family Fantasy Romance2003Mother and daughter bicker over everything -- what Anna wears, whom she likes and what she wants to do when she's older. In turn, Anna detests Tess's fiancé. When a magical fortune cookie switches their personalities, they each get a peek at how the other person feels, thinks and lives."
108,Charlie's Angels,2000,Comedy Crime Action Adventure Thriller,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",1764,34.588,5.8,3570,"Comedy Crime Action Adventure Thriller2000Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal."
109,Robin Hood,2010,Action Adventure History,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",3726,64.041,6.4,3914,"Action Adventure History2010When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey."
110,Logan,2017,Drama Action Science Fiction,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",2296,84.455,7.8,17056,"Drama Action Science Fiction2017In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces."
111,Diary of a Wimpy Kid: The Long Haul,2017,Comedy Family,A Heffley family road trip to attend Meemaw's 90th birthday party goes hilariously off course thanks to Greg's newest scheme to get to a video gaming convention.,2461,23.541,5.3,370,Comedy Family2017A Heffley family road trip to attend Meemaw's 90th birthday party goes hilariously off course thanks to Greg's newest scheme to get to a video gaming convention.
112,Tammy,2014,Comedy,"After losing her job and learning that her husband has been unfaithful, a woman hits the road with her profane, hard-drinking grandmother.",156,28.6,5.3,1066,"Comedy2014After losing her job and learning that her husband has been unfaithful, a woman hits the road with her profane, hard-drinking grandmother."
113,Morris from America,2016,Drama Romance,"A heartwarming and crowd-pleasing coming-of-age comedy with a unique spin, Morris from America centers on Morris Gentry, a 13-year-old who has just relocated with his single father, Curtis to Heidelberg, Germany. Morris, who fancies himself the next Notorious B.I.G., is a complete fish-out-of-water—a budding hip-hop star in an EDM world. To complicate matters further, Morris quickly falls hard for his cool, rebellious, 15-year-old classmate Katrin. Morris sets out against all odds to take the hip-hop world by storm and win the girl of his dreams.",529,4.739,6.0,79,"Drama Romance2016A heartwarming and crowd-pleasing coming-of-age comedy with a unique spin, Morris from America centers on Morris Gentry, a 13-year-old who has just relocated with his single father, Curtis to Heidelberg, Germany. Morris, who fancies himself the next Notorious B.I.G., is a complete fish-out-of-water—a budding hip-hop star in an EDM world. To complicate matters further, Morris quickly falls hard for his cool, rebellious, 15-year-old classmate Katrin. Morris sets out against all odds to take the hip-hop world by storm and win the girl of his dreams."
114,The Little Vampire,2000,Comedy Family Adventure Fantasy,"Based on the popular books, the story tells of Tony who wants a friend to add some adventure to his life. What he gets is Rudolph, a vampire kid with a good appetite. The two end up inseparable, but their fun is cut short when all the hopes of the vampire race could be gone forever in single night. With Tony's access to the daytime world, he helps them to find what they've always wanted.",5038,24.756,6.8,340,"Comedy Family Adventure Fantasy2000Based on the popular books, the story tells of Tony who wants a friend to add some adventure to his life. What he gets is Rudolph, a vampire kid with a good appetite. The two end up inseparable, but their fun is cut short when all the hopes of the vampire race could be gone forever in single night. With Tony's access to the daytime world, he helps them to find what they've always wanted."
115,The Intervention,2016,Comedy Drama,A weekend getaway for four couples takes a sharp turn when one of the couples discovers the entire trip was orchestrated to host an intervention on their marriage.,550,6.621,5.9,146,Comedy Drama2016A weekend getaway for four couples takes a sharp turn when one of the couples discovers the entire trip was orchestrated to host an intervention on their marriage.
116,Intruders,2016,Drama Horror Thriller,"Anna suffers from agoraphobia so crippling that when a trio of criminals break into her house, she cannot bring herself to flee. But what the intruders don't realize is that agoraphobia is not her only psychosis.",2194,12.913,5.9,386,"Drama Horror Thriller2016Anna suffers from agoraphobia so crippling that when a trio of criminals break into her house, she cannot bring herself to flee. But what the intruders don't realize is that agoraphobia is not her only psychosis."
117,Fences,2016,Drama,"In 1950s Pittsburgh, a frustrated African-American father struggles with the constraints of poverty, racism, and his own inner demons as he tries to raise a family.",1954,41.24,6.8,2247,"Drama2016In 1950s Pittsburgh, a frustrated African-American father struggles with the constraints of poverty, racism, and his own inner demons as he tries to raise a family."
118,The Lego Movie,2014,Animation Comedy Family Adventure Fantasy,"An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from gluing the universe together.",3090,38.231,7.4,6697,"Animation Comedy Family Adventure Fantasy2014An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from gluing the universe together."
119,Cloverfield,2008,Action Science Fiction Thriller,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.",454,42.058,6.7,6007,"Action Science Fiction Thriller2008Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives."
120,Bean,1997,Comedy Family Adventure,"Childlike Englishman, Mr. Bean, is an incompetent watchman at the Royal National Gallery. After the museum's board of directors' attempt to have him fired is blocked by the chairman, who has taken a liking to Bean, they send him to Los Angeles to act as their ambassador for the unveiling of a historic painting to humiliate him. Fooled, Mr. Bean must now successfully unveil the painting or risk his and a hapless Los Angeles curator's termination.",9850,26.766,6.4,2025,"Comedy Family Adventure1997Childlike Englishman, Mr. Bean, is an incompetent watchman at the Royal National Gallery. After the museum's board of directors' attempt to have him fired is blocked by the chairman, who has taken a liking to Bean, they send him to Los Angeles to act as their ambassador for the unveiling of a historic painting to humiliate him. Fooled, Mr. Bean must now successfully unveil the painting or risk his and a hapless Los Angeles curator's termination."
121,Open Water,2004,Drama Horror Thriller,"Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them...",1255,18.258,5.5,888,"Drama Horror Thriller2004Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them..."
122,Meet the Fockers,2004,Comedy Romance,"Hard-to-crack ex-CIA man Jack Byrnes and his wife Dina head for the warmer climes of Florida to meet the parents of their son-in-law-to-be, Greg Focker. Unlike their happily matched offspring, the future in-laws find themselves in a situation of opposites that definitely do not attract.",106,33.725,6.2,4086,"Comedy Romance2004Hard-to-crack ex-CIA man Jack Byrnes and his wife Dina head for the warmer climes of Florida to meet the parents of their son-in-law-to-be, Greg Focker. Unlike their happily matched offspring, the future in-laws find themselves in a situation of opposites that definitely do not attract."
123,Beauty and the Beast,1991,Animation Family Fantasy Romance,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",5954,141.332,7.7,8571,"Animation Family Fantasy Romance1991Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within."
124,The Family Man,2000,Comedy Drama Fantasy Romance,"Jack's lavish, fast-paced lifestyle changes one Christmas night when he stumbles into a grocery store holdup and disarms the gunman. The next morning he wakes up in bed lying next to Kate, his college sweetheart he left in order to pursue his career, and to the horrifying discovery that his former life no longer exists. As he stumbles through this alternate suburban universe, Jack finds himself at a crossroad where he must choose between his high-power career and the woman he loves.",2215,13.758,6.7,1568,"Comedy Drama Fantasy Romance2000Jack's lavish, fast-paced lifestyle changes one Christmas night when he stumbles into a grocery store holdup and disarms the gunman. The next morning he wakes up in bed lying next to Kate, his college sweetheart he left in order to pursue his career, and to the horrifying discovery that his former life no longer exists. As he stumbles through this alternate suburban universe, Jack finds himself at a crossroad where he must choose between his high-power career and the woman he loves."
125,Maze Runner: The Death Cure,2018,Action Adventure Science Fiction Thriller,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze.",1297,89.662,7.1,6545,"Action Adventure Science Fiction Thriller2018Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze."
126,Resident Evil: The Final Chapter,2016,Action Horror Science Fiction,"Picking up immediately after the events in Resident Evil: Retribution, Alice is the only survivor of what was meant to be humanity's final stand against the undead. Now, she must return to where the nightmare began - The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",1551,3.01,6.1,2613,"Action Horror Science Fiction2016Picking up immediately after the events in Resident Evil: Retribution, Alice is the only survivor of what was meant to be humanity's final stand against the undead. Now, she must return to where the nightmare began - The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse."
127,Monster House,2006,Animation Comedy Family Fantasy,"Monsters under the bed are scary enough, but what happens when an entire house is out to get you? Three teens aim to find out when they go up against a decrepit neighboring home and unlock its frightening secrets.",988,64.861,6.6,3272,"Animation Comedy Family Fantasy2006Monsters under the bed are scary enough, but what happens when an entire house is out to get you? Three teens aim to find out when they go up against a decrepit neighboring home and unlock its frightening secrets."
128,A Beautiful Mind,2001,Drama Romance,"John Nash is a brilliant but asocial mathematician fighting schizophrenia. After he accepts secret work in cryptography, his life takes a turn for the nightmarish.",105,35.338,7.9,8688,"Drama Romance2001John Nash is a brilliant but asocial mathematician fighting schizophrenia. After he accepts secret work in cryptography, his life takes a turn for the nightmarish."
129,Stalingrad,1993,Drama History War,"""Stalingrad"" follows the progress of a German Platoon through the brutal fighting of the Battle of Stalingrad. After having half their number wiped out and after being placed under the command of a sadistic Captain, the Lieutenant of the platoon leads his men to desert. The men of the platoon attempt to escape from the city which is now surrounded by the Soviet Army.",1053,25.177,7.3,434,"Drama History War1993""Stalingrad"" follows the progress of a German Platoon through the brutal fighting of the Battle of Stalingrad. After having half their number wiped out and after being placed under the command of a sadistic Captain, the Lieutenant of the platoon leads his men to desert. The men of the platoon attempt to escape from the city which is now surrounded by the Soviet Army."
130,Philomena,2013,Drama,"A woman searches for her adult son, who was taken away from her decades ago when she was forced to live in a convent.",119,11.714,7.4,1383,"Drama2013A woman searches for her adult son, who was taken away from her decades ago when she was forced to live in a convent."
131,Quarantine,2008,Mystery Fantasy Horror Science Fiction Thriller,A television reporter and her cameraman are trapped inside a building quarantined by the CDC after the outbreak of a mysterious virus which turns humans into bloodthirsty killers.,948,15.442,5.8,1045,Mystery Fantasy Horror Science Fiction Thriller2008A television reporter and her cameraman are trapped inside a building quarantined by the CDC after the outbreak of a mysterious virus which turns humans into bloodthirsty killers.
132,Jurassic Park III,2001,Action Adventure Science Fiction Thriller,"In need of funds for research, Dr. Alan Grant accepts a large sum of money to accompany Paul and Amanda Kirby on an aerial tour of the infamous Isla Sorna. It isn't long before all hell breaks loose and the stranded wayfarers must fight for survival as a host of new -- and even more deadly -- dinosaurs try to make snacks of them.",3351,2.579,6.1,5990,"Action Adventure Science Fiction Thriller2001In need of funds for research, Dr. Alan Grant accepts a large sum of money to accompany Paul and Amanda Kirby on an aerial tour of the infamous Isla Sorna. It isn't long before all hell breaks loose and the stranded wayfarers must fight for survival as a host of new -- and even more deadly -- dinosaurs try to make snacks of them."
133,Rise of the Planet of the Apes,2011,Drama Action Science Fiction Thriller,"A highly intelligent chimpanzee named Caeser has been living a peaceful suburban life ever since he was born. But when he gets taken to a cruel primate facility, Caeser decides to revolt against those who have harmed him.",190,74.787,7.3,10074,"Drama Action Science Fiction Thriller2011A highly intelligent chimpanzee named Caeser has been living a peaceful suburban life ever since he was born. But when he gets taken to a cruel primate facility, Caeser decides to revolt against those who have harmed him."
134,Annabelle: Creation,2017,Mystery Horror Thriller,"Several years after the tragic death of their little girl, a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the doll maker's possessed creation—Annabelle.",5558,93.959,6.6,4813,"Mystery Horror Thriller2017Several years after the tragic death of their little girl, a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the doll maker's possessed creation—Annabelle."
135,Unlocked,2017,Action Thriller,"After failing to apprehend the terrorist behind a Paris attack that claimed dozens of lives, CIA agent Alice Racine is forced to live in London as a caseworker. Her mentor unexpectedly calls her back into action when the CIA discovers that another attack is imminent. Alice soon learns that the classified information she's uncovered has been compromised...",1126,19.394,6.2,906,"Action Thriller2017After failing to apprehend the terrorist behind a Paris attack that claimed dozens of lives, CIA agent Alice Racine is forced to live in London as a caseworker. Her mentor unexpectedly calls her back into action when the CIA discovers that another attack is imminent. Alice soon learns that the classified information she's uncovered has been compromised..."
136,Blessed,2004,Mystery Thriller,"Heather Graham and James Purefoy play a couple who desperately want to have a baby. Unfortunately, she has been diagnosed as infertile, and the couple can't afford the medical treatments that might allow her to conceive. Good fortune appears to be smiling on the couple when they are given an opportunity to receive free treatments at a mysterious fertility clinic.",168,4.113,4.8,36,"Mystery Thriller2004Heather Graham and James Purefoy play a couple who desperately want to have a baby. Unfortunately, she has been diagnosed as infertile, and the couple can't afford the medical treatments that might allow her to conceive. Good fortune appears to be smiling on the couple when they are given an opportunity to receive free treatments at a mysterious fertility clinic."
137,The Lego Batman Movie,2017,Animation Comedy Family Action,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",2757,43.522,7.2,4210,"Animation Comedy Family Action2017A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick."
138,Life As We Know It,2010,Comedy Drama Romance,"After a distastrous first date for caterer Holly and network sports director Messer, all they have is common is a dislike for each other and their love for their goddaughter Sophie. But when they suddenly become all Sophie has in this world, Holly and Messer must set their differences aside. Juggling careers and social calendars, they'll have to find common ground while living under the same roof.",220,38.326,6.9,2770,"Comedy Drama Romance2010After a distastrous first date for caterer Holly and network sports director Messer, all they have is common is a dislike for each other and their love for their goddaughter Sophie. But when they suddenly become all Sophie has in this world, Holly and Messer must set their differences aside. Juggling careers and social calendars, they'll have to find common ground while living under the same roof."
139,The Ward,2010,Horror Thriller,"Kristen, a troubled young woman, is captured by the police after burning down a farmhouse and is locked in the North Bend Psychiatric Hospital. Soon, she begins to suspect that the place has a dark secret at its core and she's determined to find out what it is.",414,12.791,5.8,1021,"Horror Thriller2010Kristen, a troubled young woman, is captured by the police after burning down a farmhouse and is locked in the North Bend Psychiatric Hospital. Soon, she begins to suspect that the place has a dark secret at its core and she's determined to find out what it is."
140,Scarface,1983,Crime Drama Action,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",1587,102.85,8.2,9508,"Crime Drama Action1983After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall."
141,Thor: Ragnarok,2017,Comedy Action Adventure Fantasy Science Fiction,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",1834,192.903,7.6,18103,"Comedy Action Adventure Fantasy Science Fiction2017Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela."
